City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,puerto leguizamo,-0.1934,-74.7819,29.49,66,91,0.92,CO,1691616307
84,jamestown,42.097,-79.2353,27.23,54,20,5.66,US,1691616139
85,san luis,-33.295,-66.3356,18.26,28,100,1.63,AR,1691616204
86,korla,41.7597,86.1469,27.45,26,0,2.03,CN,1691616307
87,mahina,-17.5065,-149.489,26.87,65,20,2.57,PF,1691616307
88,puerto ayora,-0.7393,-90.3518,28.98,85,99,4.92,EC,1691616159
89,glasgow,55.8652,-4.2576,17.24,90,100,1.03,GB,1691616199
90,puerto natales,-51.7236,-72.4875,2.91,95,87,1.23,CL,1691616308
91,nova xavantina,-14.6667,-52.35,32.74,17,2,1.48,BR,1691616308
92,richards bay,-28.783,32.0377,19.26,73,100,1.97,ZA,1691616308
93,san rafael del sur,11.8485,-86.4384,35.54,45,59,5.06,NI,1691616308
94,hithadhoo,-0.6,73.0833,27.06,76,63,1.79,MV,1691616308
95,happy valley-goose bay,53.3168,-60.3315,18.17,77,100,3.6,CA,1691616213
96,daloa,6.8774,-6.4502,21.93,98,95,2.23,CI,1691616309
97,xichang,27.8964,102.2634,19.52,95,100,0.78,CN,1691616309
98,shibetsu,43.659,145.132,21.92,99,100,3.89,JP,1691616309
99,mount isa,-20.7333,139.5,6.87,87,6,0.0,AU,1691616179
100,praia da vitoria,38.7333,-27.0667,26.14,78,20,3.38,PT,1691616309
101,hawaiian paradise park,19.5933,-154.9731,27.8,77,100,2.57,US,1691616154
102,lihue,21.9789,-159.3672,32.58,63,75,9.77,US,1691616237
103,le port,-20.9373,55.2919,20.98,90,31,1.17,RE,1691616310
104,tadine,-21.55,167.8833,19.3,58,0,7.07,NC,1691616310
105,manokwari,-0.8667,134.0833,25.18,73,100,1.72,ID,1691616289
106,pisco,-13.7,-76.2167,21.03,73,20,4.63,PE,1691616238
107,sitka,57.0531,-135.33,15.94,82,100,2.57,US,1691616311
108,santa cruz,-17.8,-63.1667,29.7,48,0,6.69,BO,1691615808
109,smithers,54.7804,-127.1743,18.18,68,75,2.06,CA,1691616240
110,barbacoas,1.6715,-78.1398,28.15,81,88,2.52,CO,1691616311
111,lucapa,-8.4192,20.7447,22.49,26,1,0.14,AO,1691616311
112,west island,-12.1568,96.8225,24.99,83,100,6.17,CC,1691616222
113,ironwood,46.4547,-90.171,23.23,53,0,3.6,US,1691616311
114,rongelap,11.1635,166.8941,27.9,76,41,2.85,MH,1691616235
115,sisimiut,66.9395,-53.6735,6.43,81,100,3.6,GL,1691616161
116,carnarvon,-24.8667,113.6333,19.4,75,28,4.53,AU,1691616312
117,vilyuysk,63.7553,121.6247,13.41,60,1,3.29,RU,1691616312
118,rabo de peixe,37.8,-25.5833,22.73,94,20,3.6,PT,1691616312
119,riyadh,24.6877,46.7219,32.08,9,0,1.64,SA,1691616288
120,tobelo,1.7284,128.0095,25.48,83,94,3.41,ID,1691616312
121,yavas,54.4159,42.8491,18.36,95,13,2.0,RU,1691616312
122,alice springs,-23.7,133.8833,5.75,75,0,0.0,AU,1691616312
123,impfondo,1.6381,18.0667,22.6,93,100,1.2,CG,1691616313
124,sumenep,-7.0167,113.8667,24.47,77,66,3.99,ID,1691616313
125,trairi,-3.2778,-39.2689,25.48,81,81,5.2,BR,1691616313
126,hadibu,12.65,54.0333,25.48,81,69,7.45,YE,1691616313
127,qui nhon,13.7667,109.2333,27.8,71,69,3.68,VN,1691616150
128,haiku-pauwela,20.9219,-156.3051,28.47,57,40,9.26,US,1691616313
129,san mariano,7.5,126.0,22.28,94,100,1.64,PH,1691616313
130,san antonio de pale,-1.4014,5.6325,23.75,81,90,5.63,GQ,1691616314
131,liezen,47.5667,14.2333,10.9,99,100,1.75,AT,1691616314
132,edinburgh of the seven seas,-37.0676,-12.3116,10.83,60,63,11.17,SH,1691616314
133,talnakh,69.4865,88.3972,13.45,65,100,2.17,RU,1691616314
134,melfort,52.8667,-104.6177,20.07,34,95,4.63,CA,1691616314
135,machico,32.7,-16.7667,24.35,78,20,1.03,PT,1691616176
136,boyalik,41.2634,28.6314,22.51,65,98,6.35,TR,1691616291
137,hluti,-27.2167,31.6167,15.31,84,87,1.5,SZ,1691616315
138,port elizabeth,-33.918,25.5701,17.16,77,0,7.72,ZA,1691616237
139,ozalp,38.6548,43.993,19.67,28,0,2.28,TR,1691616315
140,whitby,54.4877,-0.615,17.95,75,87,0.89,GB,1691616052
141,tazacorte,28.629,-17.9293,24.54,92,0,6.69,ES,1691616172
142,leua,48.2156,18.6071,14.11,92,84,1.48,SK,1691616315
143,hsinchu,24.8036,120.9686,29.92,78,8,0.89,TW,1691616315
144,tiksi,71.6872,128.8694,16.46,52,8,3.17,RU,1691616216
145,kaa-khem,51.6833,94.7333,16.21,93,100,0.89,RU,1691616315
146,margaret river,-33.95,115.0667,10.49,78,100,1.57,AU,1691616155
147,rawai,7.7797,98.3253,29.99,72,43,4.41,TH,1691616316
148,priozersk,61.0393,30.1291,18.86,92,100,1.57,RU,1691616316
149,hirado,33.3597,129.5531,25.77,87,100,23.98,JP,1691616316
150,nevel'sk,46.6733,141.8633,15.68,93,100,2.15,RU,1691616316
151,al bukayriyah,26.1442,43.6593,34.87,10,3,4.72,SA,1691616317
152,trinidad,-14.8333,-64.9,31.99,51,0,2.06,BO,1691616292
153,bargaal,11.2864,51.0773,29.54,55,100,9.49,SO,1691616317
154,pyhajarvi,67.0701,27.2176,15.46,95,12,0.76,FI,1691616317
155,mirny,62.5353,113.9611,16.8,88,97,1.79,RU,1691616317
156,saint-pierre,-21.3393,55.4781,19.82,77,0,3.6,RE,1691616317
157,baden,47.9974,16.233,17.45,86,84,1.83,AT,1691615907
158,auki,-8.7676,160.7034,25.41,90,100,5.11,SB,1691616318
159,bubaque,11.2833,-15.8333,27.24,82,74,3.14,GW,1691616227
160,vershino-darasunskiy,52.35,115.5167,15.04,55,99,1.58,RU,1691616318
161,canico,32.6333,-16.85,24.35,78,20,1.03,PT,1691616318
162,i-n-salah,27.1935,2.4607,37.43,10,0,7.76,DZ,1691616318
163,milazzo,38.2212,15.2383,24.99,72,84,1.79,IT,1691616318
164,benton,36.3334,-94.3335,29.19,76,0,6.17,US,1691616318
165,kodiak,57.79,-152.4072,12.73,94,100,2.57,US,1691616221
166,vetovo,43.7,26.2667,16.95,70,72,3.57,BG,1691616319
167,kununurra,-15.7667,128.7333,13.99,77,39,1.54,AU,1691616283
168,yuzhno-kurilsk,44.0306,145.8556,19.68,99,100,4.33,RU,1691616224
169,baiao,-2.7906,-49.6717,25.72,81,74,2.57,BR,1691616319
170,novotitarovskaya,45.2356,38.9792,26.06,74,37,2.79,RU,1691616041
171,isafjordur,66.0755,-23.124,9.13,63,86,3.68,IS,1691616155
172,firuzabad,28.8438,52.5707,29.25,31,96,2.7,IR,1691616319
173,canchungo,12.0672,-16.0333,27.07,85,78,2.23,GW,1691616319
174,mahibadhoo,3.7833,72.9667,27.63,79,100,6.02,MV,1691616081
175,muisne,0.6,-80.0333,26.03,81,100,5.0,EC,1691616296
176,colonia,50.9333,6.95,18.31,73,20,1.03,DE,1691616047
177,gamba,-2.65,10.0,21.86,89,59,2.43,GA,1691616291
178,sarmiento,-45.5882,-69.07,12.99,60,100,5.95,AR,1691616151
